id,date,brand,region,content
9253,2025-03-04 13:44:28,Wana,Jijel,why  does  tethering  fail?  https://t.co/xyz
11064,2024-12-07 10:39:28,Djezzy,Ain Temouchent,"WORKING FINE TODAY, THUMBS UP DJEZZY 👍"
7202,2024-12-04 14:28:28,Ooredoo,Mostaganemm,why does tethering fail? https://support.example.org/ticket/93455
16041,2025-01-30 02:52:29,Ooredoo,Ghardaya,Test speed: 0.2 Mbps in Ghardaya http://example.com/issue/3021 😤
18897,2025-10-13 01:14:29,Ooredoo,,Test speed: 0.2 Mbps in El-Oued https://support.example.org/ticket/62305
18066,2025-06-01 20:39:29,Mobilis,,الانترنت ما راهوش يخدم مليح 😤
1525,2025-05-31 14:48:28,TelecomDZ,Bejaia,Signal ok but data speed low in Bejaia
5095,2024-11-22 00:21:28,Mobilis,Ain Temouchent,Why so many ads? app is unusable https://support.example.org/ticket/83323
13070,2025-07-19 08:04:28,Ooredoo,Ghardaya,Bills are wrong again!! charged twice http://bit.ly/8r29y8
16938,2024-12-28 03:53:29,Ooredoo,,Why so many ads? app is unusable https://support.example.org/ticket/77349  
8146,2025-07-11 22:23:28,Mobilis,El Bayadh,Promos are good but network bad 😅
11502,2024-11-16 22:07:28,Ooredoo,Batna,Loving the new offers 💯💯 visit https://t.co/xyz
6384,2025-03-03 08:04:28,TelecomDZ,Khenchela,My SIM not activated after 24h http://bit.ly/lzrsnk
7462,2025-02-25 01:40:28,Ooredoo,Ghardaya,internet so slooooow 😭 #Djezzy
17181,2025-03-01 08:41:29,Ooredoo,Skikdaa,Coverage in Skikdaa is terrible... http://bit.ly/2wojoj
2479,2025-08-09 22:02:28,Ooredoo,Tipaza,Coverage in Tipaza is terrible... https://support.example.org/ticket/25855
9420,2025-08-24 11:23:28,Mobilis,Tipaza,random spam message http://spam.example.com 😢
20662,2024-11-08 05:23:29,Ooredoo,Laghouat,I see 'network busy' message often in Laghouat
22867,2025-09-18 15:22:29,Djezzy,Orann,random spam message http://spam.example.com
16943,2025-10-04 16:45:29,Djezzy,Illizi,Promo applied but billing still wrong http://bit.ly/2e6esd
6001,2024-11-19 16:18:28,Wana,Souk Ahras,"recharge failed, money gone!! contact@Wana.com"
14071,2025-09-19 22:53:28,Ooredoo,Tebessa,INTERNET DROP EVERY 5 MINUTES IN TEBESSA!!!
19582,2025-04-30 08:04:29,Ooredoo,Ain Temouchent,Why  is  4G  not  working??  https://support.example.org/ticket/66175
10061,2025-08-20 02:13:28,Wana,Relizane,why am i charged for sms I never sent?? https://t.co/xyz
1339,2025-08-20 01:42:28,Djezzy,Oum El Bouaghi,  LA CONNEXION EST LENTE À OUM EL BOUAGHI HTTP://BIT.LY/X1DIM4
4032,2024-11-12 19:25:28,Wana,,"they restored service after outage, thanks Wana"
22459,2025-10-03 23:54:29,Mobilis,Blidah,Network is so slow today in Blidah 😡 http://example.com/issue/6142
3683,2025-09-21 21:12:28,Wana,Tindouf,<html>Error 500</html> app crash contact@wana.com
3316,2024-11-26 14:57:28,Ooredoo,Boumerdes!,The new plan is expensive for students
8222,2025-03-09 18:20:28,Mobilis,Khenchela,NO SIGNAL IN KHENCHELA. ANYONE ELSE?? 👍
6115,2025-05-26 01:40:28,Mobilis,Annabba,  My SIM not activated after 24h https://support.example.org/ticket/90815
18730,2025-06-07 01:33:29,Ooredoo,Soukahras,I switched from Ooredoo to TelecomDZ and it's better.
2529,2025-04-10 16:12:28,Ooredoo,Soukahras,VoLTE not working in Soukahras since 2 days
13582,2024-11-12 01:45:28,Ooredoo,Bejaiaa,مافهمتش علاش الباكيج خلصت؟ https://t.co/xyz
4512,2025-05-22 03:50:28,Ooredoo,Soukahras,"The team fixed it fast, impressed!"
5019,2025-06-04 11:48:28,TelecomDZ,,why am i charged for sms I never sent?? http://example.com/issue/369
6005,2024-10-20 10:47:28,Mobilis,Laghowat,Signal ok but data speed low in Laghowat  
2730,2025-06-23 23:15:28,TelecomDZ,El Oued,  My hotspot disconnects after 2 mins
2522,2025-05-02 13:22:28,Wana,Setif,"Bonjour, réseau très lent aujourd'hui https://support.example.org/ticket/3195"
17993,2025-07-18 02:12:29,Wana,Biskraa,الانترنت ما راهوش يخدم مليح 😤
1248,2024-12-27 03:34:28,Ooredoo,Batna,VOLTE NOT WORKING IN BATNA SINCE 2 DAYS
5708,2025-03-22 18:12:28,Mobilis,Tipaza..,"Bonjour, réseau très lent aujourd'hui http://example.com/issue/9689"
20062,2025-04-09 05:34:29,Wana,Batna,My SIM not activated after 24h http://example.com/issue/6824  
22207,2025-06-02 09:44:29,Mobilis,Constantine,  Promos are good but network bad 😅
17495,2024-12-20 01:39:29,Ooredoo,Tipaza..,No signal in Tipaza... anyone else??
14259,2025-08-03 09:28:28,Wana,Bejaiaa,"support was helpful today, thanks Wana 😩"
4971,2025-03-27 04:49:28,Djezzy,Laghowat,Data speed fine but latency high in Laghowat
16959,2025-07-02 12:11:29,Ooredoo,Sidi Bel Abbes,why tf my data is gone? https://t.co/xyz
14008,2024-12-05 23:51:28,Wana,El Bayadh,My hotspot disconnects after 2 mins
16188,2025-03-31 00:01:29,Wana,Jijel,Signal lost when entering building near Jijel
8404,2025-04-22 18:48:28,Wana,Laghouat,The new plan is expensive for students
15685,2025-02-12 04:27:28,Ooredoo,Relizane,why does tethering fail? http://example.com/issue/4172
18354,2025-04-06 19:21:29,Djezzy,Khenchella,مشكلة في الشبكة في Khenchella 😠
7206,2025-10-03 18:38:28,TelecomDZ,Setif,Loving the new offers 💯💯 visit https://t.co/xyz
10797,2025-03-13 13:43:28,Wana,Ouargla,internet drop every 5 minutes in Ouargla!!!
1954,2025-05-09 23:02:28,TelecomDZ,Tindouf,<html>Error 500</html> app crash
19500,2025-08-10 04:44:29,Ooredoo,,  App says update required but Play Store shows none https://support.example.org/ticket/32075
17072,2025-10-05 06:00:29,Wana,Mostaganem,My SIM not activated after 24h http://example.com/issue/5719
21581,2024-11-19 16:21:29,Djezzy,Bejaiaa,<html>Error 500</html> app crash
15067,2025-02-28 06:47:28,Wana,Relizane,internet so slooooow 😭 #Djezzy
14294,2024-11-26 16:19:28,Ooredoo,Ouargla,الانترنت ما راهوش يخدم مليح 😤
12984,2025-03-15 23:55:28,Mobilis,Sidi Bel Abbes,My SIM not activated after 24h https://support.example.org/ticket/59017
7926,2025-03-05 05:42:28,Mobilis,Bejaiaa,No signal in Bejaiaa. anyone else??
3248,2025-03-26 00:01:28,Mobilis,Skikda,La connexion est lente à Skikda https://support.example.org/ticket/93989
8846,2025-01-14 04:53:28,Mobilis,,Trop de pubs dans l'app 😤
